"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,156,Country/Area,554419.27,569909.11,582576.50,593365.88,603052.32,612241.55,621363.23,630677.65,640295.78,650212.73,660408.05,670952.70,682102.65,694339.08,708254.60,724218.97,742414.89,762581.18,784074.72,805985.94,827601.39,848759.71,869485.96,889485.37,908464.21,926240.89,942685.41,957891.27,972205.44,986132.21,1000089.23,1014022.21,1027948.99,1042431.40,1058171.97,1075589.36,1095014.11,1116095.48,1137724.23,1158357.39,1176883.68,1192897.28,1206711.24,1218817.06,1230020.03,1240920.54,1251636.18,1261996.02,1271982.35,1281514.83,1290550.77,1299129.75,1307352.26,1315303.52,1323084.64,1330776.38,1338408.64,1345993.89,1353569.48,1361169.41,1368810.60,1376497.63,1384206.41,1391883.34,1399453.97,1406847.87,1414049.35,1421021.79,1427647.79,1433783.69,1439323.77
India,356,Country/Area,376325.20,382376.95,388799.08,395544.37,402578.59,409880.61,417442.81,425270.71,433380.98,441798.57,450547.68,459642.17,469077.19,478825.60,488848.14,499123.33,509631.51,520400.58,531513.83,543084.33,555189.80,567868.02,581087.26,594770.14,608802.60,623102.90,637630.09,652408.77,667499.82,682995.35,698952.84,715385.00,732239.50,749428.96,766833.41,784360.01,801975.25,819682.10,837468.94,855334.68,873277.80,891273.20,909307.02,927403.87,945601.83,963922.59,982365.25,1000900.03,1019483.59,1038058.15,1056575.55,1075000.09,1093317.19,1111523.15,1129623.47,1147609.92,1165486.29,1183209.47,1200669.76,1217726.22,1234281.16,1250287.94,1265780.24,1280842.12,1295600.77,1310152.39,1324517.25,1338676.78,1352642.28,1366417.76,1380004.39
United States of America,840,Country/Area,158804.40,160872.26,163266.03,165910.00,168736.39,171685.34,174705.01,177751.48,180788.39,183786.25,186720.57,189569.85,192313.75,194932.40,197408.50,199733.68,201895.76,203905.08,205805.76,207659.27,209513.34,211384.08,213269.81,215178.80,217114.90,219081.25,221086.43,223135.66,225223.31,227339.32,229476.36,231636.07,233821.85,236030.24,238256.85,240499.82,242763.14,245052.78,247372.26,249725.81,252120.31,254539.37,256990.61,259532.13,262241.20,265163.74,268335.01,271713.63,275175.31,278548.15,281710.91,284607.99,287279.31,289815.57,292354.66,294993.51,297758.98,300608.43,303486.02,306307.57,309011.47,311584.05,314043.89,316400.54,318673.42,320878.31,323015.99,325084.76,327096.26,329064.92,331002.65
Indonesia,360,Country/Area,69543.32,70849.44,72274.63,73820.84,75487.89,77273.43,79172.80,81179.21,83284.05,85477.63,87751.07,90098.40,92518.37,95015.30,97596.73,100267.07,103025.42,105865.58,108779.93,111758.57,114793.18,117880.15,121017.32,124199.69,127422.20,130680.73,133966.94,137278.06,140621.73,144009.84,147447.83,150938.22,154468.24,158009.25,161523.35,164982.45,168374.29,171702.76,174975.95,178209.15,181413.40,184591.90,187739.79,190851.18,193917.46,196934.26,199901.23,202826.44,205724.60,208615.17,211513.82,214427.42,217357.79,220309.47,223285.67,226289.47,229318.26,232374.24,235469.76,238620.55,241834.23,245115.99,248451.71,251805.31,255128.08,258383.26,261556.39,264650.97,267670.55,270625.57,273523.62
Pakistan,586,Country/Area,37542.37,37992.88,38516.51,39109.09,39767.17,40488.03,41269.72,42111.01,43011.32,43970.56,44988.69,46065.23,47198.89,48387.29,49627.62,50917.98,52260.18,53655.78,55102.69,56598.15,58142.06,59734.48,61381.98,63099.40,64906.00,66816.88,68834.32,70958.17,73197.25,75561.13,78054.35,80680.46,83431.60,86285.94,89213.71,92191.51,95215.38,98285.76,101389.60,104512.87,107647.92,110778.66,113911.13,117086.68,120362.76,123776.84,127349.29,131057.43,134843.23,138624.63,142343.58,145978.41,149549.70,153093.37,156664.70,160304.01,164022.63,167808.11,171648.98,175525.61,179424.64,183340.17,187280.13,191260.80,195305.01,199426.95,203631.36,207906.21,212228.29,216565.32,220892.33
Brazil,76,Country/Area,53974.73,55606.41,57283.66,58999.28,60749.49,62533.92,64355.71,66221.47,68140.43,70123.37,72179.24,74311.34,76514.33,78772.65,81064.57,83373.53,85696.50,88035.82,90387.08,92746.61,95113.27,97482.93,99859.39,102259.50,104706.19,107216.21,109790.94,112425.39,115121.16,117878.41,120694.01,123570.33,126498.32,129448.82,132383.57,135274.08,138108.92,140891.61,143627.51,146328.31,149003.23,151648.01,154259.38,156849.09,159432.72,162019.89,164614.68,167209.05,169785.25,172318.67,174790.34,177196.05,179537.52,181809.24,184006.48,186127.11,188167.35,190130.45,192030.36,193886.51,195713.64,197514.54,199287.29,201035.90,202763.74,204471.76,206163.06,207833.83,209469.32,211049.52,212559.41
Nigeria,566,Country/Area,37859.75,38424.14,39035.44,39686.16,40370.85,41086.10,41830.62,42605.12,43412.09,44255.34,45138.46,46063.57,47029.82,48032.93,49066.76,50127.92,51217.97,52342.23,53506.20,54717.04,55982.14,57296.99,58665.81,60114.62,61677.17,63374.29,65221.38,67203.13,69271.92,71361.14,73423.65,75440.51,77427.54,79414.84,81448.76,83562.78,85766.40,88048.03,90395.28,92788.04,95212.45,97667.63,100161.71,102700.75,105293.70,107948.34,110668.78,113457.66,116319.76,119260.06,122283.85,125394.05,128596.08,131900.63,135320.42,138865.01,142538.31,146339.97,150269.62,154324.94,158503.20,162805.08,167228.80,171765.82,176404.93,181137.45,185960.24,190873.25,195874.69,200963.60,206139.59
Bangladesh,50,Country/Area,37894.67,38706.40,39489.86,40292.41,41149.83,42086.31,43113.92,44233.22,45434.54,46700.57,48013.51,49362.83,50752.15,52202.01,53741.72,55385.11,57157.65,59034.25,60918.45,62679.77,64232.49,65531.64,66625.71,67637.54,68742.22,70066.31,71652.39,73463.59,75450.03,77529.04,79639.50,81767.52,83932.13,86142.49,88416.53,90764.18,93187.59,95671.16,98186.35,100695.50,103171.96,105599.13,107983.71,110350.64,112737.68,115169.93,117649.93,120160.57,122682.82,125189.66,127657.86,130088.71,132478.08,134791.60,136986.43,139035.51,140921.15,142660.38,144304.16,145924.80,147575.43,149273.13,151005.73,152761.41,154517.39,156256.29,157977.15,159685.42,161376.71,163046.17,164689.38
Russian Federation,643,Country/Area,102798.65,104304.70,105967.09,107727.31,109536.50,111355.30,113154.33,114913.78,116622.39,118275.87,119871.70,121403.90,122858.22,124210.25,125430.99,126503.74,127417.19,128187.40,128859.80,129497.50,130148.65,130830.72,131539.63,132275.73,133032.26,133804.86,134596.23,135413.34,136259.82,137139.39,138053.14,138993.85,139954.63,140935.77,141938.48,142957.29,143995.35,145032.89,146013.48,146863.93,147531.56,147995.58,148268.58,148373.58,148349.44,148227.47,148020.85,147730.02,147360.61,146915.92,146404.89,145830.73,145215.71,144610.88,144080.65,143672.13,143403.26,143266.21,143248.76,143326.90,143479.27,143703.03,143993.89,144325.46,144664.84,144985.06,145275.37,145530.09,145734.03,145872.26,145934.46
Mexico,484,Country/Area,27944.67,28749.85,29590.08,30468.85,31388.57,32350.59,33355.18,34401.54,35487.96,36612.11,37771.86,38966.05,40195.32,41462.37,42771.08,44123.86,45519.75,46956.21,48431.97,49945.28,51493.57,53076.37,54689.94,56324.31,57966.81,59607.95,61242.19,62869.91,64494.87,66123.91,67761.37,69407.62,71058.65,72709.31,74352.63,75983.49,77599.11,79200.08,80788.73,82368.93,83943.14,85512.62,87075.14,88625.44,90156.40,91663.29,93147.05,94611.01,96056.31,97484.82,98899.85,100298.15,101684.76,103081.02,104514.93,106005.20,107560.16,109170.50,110815.27,112463.89,114092.96,115695.47,117274.16,118827.16,120355.14,121858.25,123333.38,124777.33,126190.78,127575.53,128932.75
